id,dep_delayed_15min
0,0.039042756
1,0.05680682
2,0.03448415
3,0.2321154
4,0.1823223
5,0.08468475
6,0.06526869
7,0.2752065
8,0.15876003
9,0.25906757
10,0.516068
11,0.18726313
12,0.048298426
13,0.24914576
14,0.06553262
15,0.2446032
16,0.04095573
17,0.24797514
18,0.3700969
19,0.023010386
20,0.20512944
21,0.0068986546
22,0.18814266
23,0.2172715
24,0.26236215
25,0.297651
26,0.0051914267
27,0.011576806
28,0.27276924
29,0.16434565
30,0.18698204
31,0.2982545
32,0.0082795
33,0.24600543
34,0.25243774
35,0.21782443
36,0.19693251
37,0.21374802
38,0.13085899
39,0.27146024
40,0.15801689
41,0.35298073
42,0.22644229
43,0.2656285
44,0.1560283
45,0.37895894
46,0.0046674325
47,0.13077992
48,0.24323514
49,0.1205086
50,0.242623
51,0.04269863
52,0.25865155
53,0.29222184
54,0.29285532
55,0.056903243
56,0.240345
57,0.3850619
58,0.056152944
59,0.2874732
60,0.12170554
61,0.13593805
62,0.18364426
63,0.23332724
64,0.20478994
65,0.1724164
66,0.018473722
67,0.09536236
68,0.11002784
69,0.17152041
70,0.024160033
71,0.24780872
72,0.3089005
73,0.16239686
74,0.64843804
75,0.2561558
76,0.06577635
77,0.1547782
78,0.1046242
79,0.21983548
80,0.21758436
81,0.22191262
82,0.060497902
83,0.6082391
84,0.10639526
85,0.0026108527
86,0.04405186
87,0.25987545
88,0.1553423
89,0.17157142
90,0.2488298
91,0.20583722
92,0.11530047
93,0.08541132
94,0.25583005
95,0.14849423
96,0.2632989
97,0.09615802
98,0.21964766
99,0.2839666
100,0.18674858
101,0.24535914
102,0.080634914
103,0.21889976
104,0.004175069
105,0.12005467
106,0.23149177
107,0.039664723
108,0.120625414
109,0.27138773
110,0.24500023
111,0.20961785
112,0.3398398
113,0.04353199
114,0.048682876
115,0.14816973
116,0.19886236
117,0.6061315
118,0.08181393
119,0.20523669
120,0.40375522
121,0.22815003
122,0.29186663
123,0.22478811
124,0.23829453
125,0.098010786
126,0.08415351
127,0.031830225
128,0.08552259
129,0.4062198
130,0.32805982
131,0.14706208
132,0.026092984
133,0.11049798
134,0.059228104
135,0.21900527
136,0.33837602
137,0.22874637
138,0.015924465
139,0.08481295
140,0.29908958
141,0.13555126
142,0.20239365
143,0.34252894
144,0.49678582
145,0.3216158
146,0.19271195
147,0.24665807
148,0.121082515
149,0.3278603
150,0.41684824
151,0.24387975
152,0.12804203
153,0.1616512
154,0.081382364
155,0.10085484
156,0.41150117
157,0.2451569
158,0.28350547
159,0.03318709
160,0.09854636
161,0.3608049
162,0.8009191
163,0.13433829
164,0.2922331
165,0.07697425
166,0.04732421
167,0.022919877
168,0.13183242
169,0.2871124
170,0.22358374
171,0.17381571
172,0.23934275
173,0.37240282
174,0.31680033
175,0.2615338
176,0.12812662
177,0.019232951
178,0.24735811
179,0.13927436
180,0.04859527
181,0.19349885
182,0.17334686
183,0.48889592
184,0.18009523
185,0.28565398
186,0.26764446
187,0.34487504
188,0.17955741
189,0.33590096
190,0.40227062
191,0.20374797
192,0.103403404
193,0.22693184
194,0.23369163
195,0.139516
196,0.27925175
197,0.08446602
198,0.22730474
199,0.26267684
200,0.2079857
201,0.2859294
202,0.33137047
203,0.020444958
204,0.0049839932
205,0.21365334
206,0.59929556
207,0.0052140923
208,0.18831384
209,0.14944887
210,0.017756306
211,0.105309874
212,0.32304117
213,0.24926089
214,0.13423821
215,0.11402984
216,0.02209148
217,0.13319829
218,0.2943499
219,0.12568842
220,0.15290208
221,0.29544672
222,0.11431285
223,0.097138576
224,0.2927758
225,0.11915745
226,0.36220926
227,0.33742774
228,0.2130632
229,0.4327623
230,0.011078882
231,0.14733306
232,0.18048693
233,0.06485567
234,0.15606934
235,0.11200426
236,0.018098136
237,0.2855477
238,0.180042
239,0.1861431
240,0.123533316
241,0.29281583
242,0.17731866
243,0.060120594
244,0.28398982
245,0.28271735
246,0.26334566
247,0.3794767
248,0.34780815
249,0.284264
250,0.16408195
251,0.031248588
252,0.12944217
253,0.09176374
254,0.34559977
255,0.14993615
256,0.15428612
257,0.025365535
258,0.19099219
259,0.005521284
260,0.24329033
261,0.074303046
262,0.34302962
263,0.26270264
264,0.23176733
265,0.21091247
266,0.1978168
267,0.060062174
268,0.25881347
269,0.2851488
270,0.02002829
271,0.18923935
272,0.2649981
273,0.07316814
274,0.2783134
275,0.12169407
276,0.028575752
277,0.26172373
278,0.09634297
279,0.36127833
280,0.28406474
281,0.27803117
282,0.14243855
283,0.065931745
284,0.28393507
285,0.22788304
286,0.06871956
287,0.060289767
288,0.2571362
289,0.04115544
290,0.13988513
291,0.24141747
292,0.34035784
293,0.18164487
294,0.21873635
295,0.073150106
296,0.0074827094
297,0.17678511
298,0.45224902
299,0.10220541
300,0.21741559
301,0.23729376
302,0.11569595
303,0.29526734
304,0.2498924
305,0.22010075
306,0.2002517
307,0.18615657
308,0.1575763
309,0.12855396
310,0.36790022
311,0.4195214
